"id","condition","sender","sender_id","counter_learning_veggie","counter_learning_fruit","response","button1","button2","response_action","feedback_fruit","feedback_veggie","button_not_chosen","button_chosen","drawn_fruit","drawn_veggie"
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_5_11",NA,12,"button1","orange.svg","strawberry.svg","keypress(s,S)",TRUE,NA,"strawberry.svg","orange.svg","orange.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_5_12",NA,13,"button2","cherry.svg","banana.svg","keypress(l,L)",TRUE,NA,"cherry.svg","banana.svg","banana.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_5_13",NA,14,"button1","banana.svg","cherry.svg","keypress(s,S)",FALSE,NA,"cherry.svg","banana.svg","cherry.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_5_14",NA,15,"button1","orange.svg","strawberry.svg","keypress(s,S)",FALSE,NA,"strawberry.svg","orange.svg","strawberry.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_5_15",NA,16,"button2","cherry.svg","banana.svg","keypress(l,L)",TRUE,NA,"cherry.svg","banana.svg","banana.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_5_16",NA,17,"button1","banana.svg","cherry.svg","keypress(s,S)",TRUE,NA,"cherry.svg","banana.svg","banana.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_5_17",NA,18,"button1","banana.svg","cherry.svg","keypress(s,S)",TRUE,NA,"cherry.svg","banana.svg","banana.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_5_18",NA,19,"button1","strawberry.svg","orange.svg","keypress(s,S)",TRUE,NA,"orange.svg","strawberry.svg","strawberry.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_5_19",NA,20,"button2","orange.svg","strawberry.svg","keypress(l,L)",TRUE,NA,"orange.svg","strawberry.svg","strawberry.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_5_20",NA,21,"button1","strawberry.svg","orange.svg","keypress(s,S)",FALSE,NA,"orange.svg","strawberry.svg","orange.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_5_21",NA,22,"button2","cherry.svg","banana.svg","keypress(l,L)",FALSE,NA,"cherry.svg","banana.svg","cherry.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_5_22",NA,23,"button1","strawberry.svg","orange.svg","keypress(s,S)",TRUE,NA,"orange.svg","strawberry.svg","strawberry.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_5_23",NA,24,"button2","orange.svg","strawberry.svg","keypress(l,L)",TRUE,NA,"orange.svg","strawberry.svg","strawberry.svg",NA
"26qdff3d7g","D","Loop_fruits1",NA,NA,NA,"Continue",NA,NA,"keypress(Enter)",NA,NA,NA,NA,NA,NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_0",NA,25,"button2","cherry.svg","banana.svg","keypress(l,L)",FALSE,NA,"cherry.svg","banana.svg","cherry.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_1",NA,26,"button2","cherry.svg","banana.svg","keypress(l,L)",FALSE,NA,"cherry.svg","banana.svg","cherry.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_2",NA,27,"button1","banana.svg","cherry.svg","keypress(s,S)",TRUE,NA,"cherry.svg","banana.svg","banana.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_3",NA,28,"button1","banana.svg","cherry.svg","keypress(s,S)",TRUE,NA,"cherry.svg","banana.svg","banana.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_4",NA,29,"button1","banana.svg","cherry.svg","keypress(s,S)",FALSE,NA,"cherry.svg","banana.svg","cherry.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_5",NA,30,"button2","orange.svg","strawberry.svg","keypress(l,L)",FALSE,NA,"orange.svg","strawberry.svg","orange.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_6",NA,31,"button1","strawberry.svg","orange.svg","keypress(s,S)",FALSE,NA,"orange.svg","strawberry.svg","orange.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_7",NA,32,"button1","strawberry.svg","orange.svg","keypress(s,S)",FALSE,NA,"orange.svg","strawberry.svg","orange.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_8",NA,33,"button2","orange.svg","strawberry.svg","keypress(l,L)",FALSE,NA,"orange.svg","strawberry.svg","orange.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_9",NA,34,"button1","strawberry.svg","orange.svg","keypress(s,S)",TRUE,NA,"orange.svg","strawberry.svg","strawberry.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_10",NA,35,"button1","banana.svg","cherry.svg","keypress(s,S)",TRUE,NA,"cherry.svg","banana.svg","banana.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_11",NA,36,"button1","banana.svg","cherry.svg","keypress(s,S)",TRUE,NA,"cherry.svg","banana.svg","banana.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_12",NA,37,"button1","banana.svg","cherry.svg","keypress(s,S)",TRUE,NA,"cherry.svg","banana.svg","banana.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_13",NA,38,"button2","cherry.svg","banana.svg","keypress(l,L)",TRUE,NA,"cherry.svg","banana.svg","banana.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_14",NA,39,"button2","strawberry.svg","orange.svg","keypress(l,L)",FALSE,NA,"strawberry.svg","orange.svg","strawberry.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_15",NA,40,"button1","orange.svg","strawberry.svg","keypress(s,S)",TRUE,NA,"strawberry.svg","orange.svg","orange.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_16",NA,41,"button1","orange.svg","strawberry.svg","keypress(s,S)",FALSE,NA,"strawberry.svg","orange.svg","strawberry.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_17",NA,42,"button2","cherry.svg","banana.svg","keypress(l,L)",TRUE,NA,"cherry.svg","banana.svg","banana.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_18",NA,43,"button2","cherry.svg","banana.svg","keypress(l,L)",TRUE,NA,"cherry.svg","banana.svg","banana.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_19",NA,44,"button2","cherry.svg","banana.svg","keypress(l,L)",TRUE,NA,"cherry.svg","banana.svg","banana.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_20",NA,45,"button1","orange.svg","strawberry.svg","keypress(s,S)",FALSE,NA,"strawberry.svg","orange.svg","strawberry.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_21",NA,46,"button2","cherry.svg","banana.svg","keypress(l,L)",TRUE,NA,"cherry.svg","banana.svg","banana.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_22",NA,47,"button1","orange.svg","strawberry.svg","keypress(s,S)",TRUE,NA,"strawberry.svg","orange.svg","orange.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_23",NA,48,"button1","banana.svg","cherry.svg","keypress(s,S)",TRUE,NA,"cherry.svg","banana.svg","banana.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_24",NA,49,"button2","strawberry.svg","orange.svg","keypress(l,L)",TRUE,NA,"strawberry.svg","orange.svg","orange.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_25",NA,50,"button2","strawberry.svg","orange.svg","keypress(l,L)",FALSE,NA,"strawberry.svg","orange.svg","strawberry.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_26",NA,51,"button1","orange.svg","strawberry.svg","keypress(s,S)",TRUE,NA,"strawberry.svg","orange.svg","orange.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_7_27",NA,52,"button2","strawberry.svg","orange.svg","keypress(l,L)",TRUE,NA,"strawberry.svg","orange.svg","orange.svg",NA
"26qdff3d7g","D","Loop_fruits2",NA,NA,NA,"Continue",NA,NA,"keypress(Enter)",NA,NA,NA,NA,NA,NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_9_0",NA,53,"button1","banana.svg","cherry.svg","keypress(s,S)",TRUE,NA,"cherry.svg","banana.svg","banana.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_9_1",NA,54,"button2","strawberry.svg","orange.svg","keypress(l,L)",FALSE,NA,"strawberry.svg","orange.svg","strawberry.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_9_2",NA,55,"button1","banana.svg","cherry.svg","keypress(s,S)",TRUE,NA,"cherry.svg","banana.svg","banana.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_9_3",NA,56,"button1","orange.svg","strawberry.svg","keypress(s,S)",FALSE,NA,"strawberry.svg","orange.svg","strawberry.svg",NA
"26qdff3d7g","D","Sequence_fruits","7_3_3_0_9_4",NA,57,"button2","strawberry.svg","orange.svg","keypress(l,L)",FALSE,NA,"strawberry.svg","orange.svg","strawberry.svg",NA
